file	type	title	url	archive_status
source-01.html	主证据	GitHub Advisory: FastGPT loginByPassword NoSQL Injection	https://github.com/labring/FastGPT/security/advisories/GHSA-x8mx-2mr7-h9xg	OK|html|original|209641
source-02.html	生态证据	GitHub Advisory: FastGPT updatePasswordByOld NoSQL Injection	https://github.com/labring/FastGPT/security/advisories/GHSA-422w-vrfj-72g6	OK|html|original|209129
source-03.html	主证据	CVEProject cvelistV5: CVE-2026-40351	https://github.com/CVEProject/cvelistV5/blob/main/cves/2026/40xxx/CVE-2026-40351.json	OK|html|original|373316
source-04.html	复核证据	Tenable: CVE-2026-40352	https://www.tenable.com/cve/CVE-2026-40352	OK|html|original|57018
source-05.html	复核证据	Tenable: CVE-2026-40351	https://www.tenable.com/cve/CVE-2026-40351	OK|html|original|56708
source-06.html	生态证据	OpenCVE: FastGPT CVE listing	https://app.opencve.io/cve/?vendor=fastgpt	OK|html|original|38872
