idx	file	bytes	url
01	source-01-www-microsoft-com-en-us-security-blog-2026-06-18-autojack-single-page-rce-host-r.html	326893	https://www.microsoft.com/en-us/security/blog/2026/06/18/autojack-single-page-rce-host-running-ai-agent/
02	source-02-thehackernews-com-2026-06-autojack-attack-lets-one-web-page-html.html	171664	https://thehackernews.com/2026/06/autojack-attack-lets-one-web-page.html
03	source-03-www-bleepingcomputer-com-news-security-microsoft-fixes-autogen-studio-flaw-that-.html	89996	https://www.bleepingcomputer.com/news/security/microsoft-fixes-autogen-studio-flaw-that-enabled-code-execution/
04	source-04-www-techradar-com-pro-security-microsoft-warns-ai-agents-are-being-autojack-ed-t.html	1191516	https://www.techradar.com/pro/security/microsoft-warns-ai-agents-are-being-autojack-ed-to-deliver-rce-payloads-by-browsing-untrusted-websites
05	source-05-www-csoonline-com-article-4187155-microsoft-says-web-enabled-ai-agents-can-trigg.html	252557	https://www.csoonline.com/article/4187155/microsoft-says-web-enabled-ai-agents-can-trigger-host-level-rce.html
06	source-06-github-com-microsoft-autogen-commit-b047730.html	1001128	https://github.com/microsoft/autogen/commit/b047730
07	source-07-microsoft-github-io-autogen-dev-user-guide-autogenstudio-user-guide-index-html.html	31954	https://microsoft.github.io/autogen/dev//user-guide/autogenstudio-user-guide/index.html
