idx	file	bytes	url
01	source-01-www-pillar-security-blog-prompt-injection-leads-to-rce-and-sandbox-escape-in-ant.html	115807	https://www.pillar.security/blog/prompt-injection-leads-to-rce-and-sandbox-escape-in-antigravity
02	source-02-thehackernews-com-2026-04-google-patches-antigravity-ide-flaw-html.html	175165	https://thehackernews.com/2026/04/google-patches-antigravity-ide-flaw.html
03	source-03-cyberscoop-com-google-antigravity-pillar-security-agent-sandbox-escape-remote-co.html	113305	https://cyberscoop.com/google-antigravity-pillar-security-agent-sandbox-escape-remote-code-execution/
04	source-04-www-darkreading-com-vulnerabilities-threats-google-fixes-critical-rce-flaw-ai-ba.html	416283	https://www.darkreading.com/vulnerabilities-threats/google-fixes-critical-rce-flaw-ai-based-antigravity-tool
05	source-05-www-csoonline-com-article-4161382-prompt-injection-turned-googles-antigravity-fi.html	252960	https://www.csoonline.com/article/4161382/prompt-injection-turned-googles-antigravity-file-search-into-rce.html
06	source-06-developers-googleblog-com-build-with-google-antigravity-our-new-agentic-developm.html	37409	https://developers.googleblog.com/build-with-google-antigravity-our-new-agentic-development-platform/
07	source-07-antigravity-google-product-antigravity-ide.html	22918	https://antigravity.google/product/antigravity-ide
