idx	file	bytes	url
01	source-01-github-com-kludex-starlette-security-advisories-ghsa-86qp-5c8j-p5mr.html	209149	https://github.com/Kludex/starlette/security/advisories/GHSA-86qp-5c8j-p5mr
02	source-02-nvd-nist-gov-vuln-detail-cve-2026-48710.html	135561	https://nvd.nist.gov/vuln/detail/CVE-2026-48710
03	source-03-www-x41-dsec-de-lab-advisories-x41-2026-002-starlette.html	20527	https://www.x41-dsec.de/lab/advisories/x41-2026-002-starlette
04	source-04-ostif-org-disclosing-the-badhost-vulnerability-in-starlette.html	79970	https://ostif.org/disclosing-the-badhost-vulnerability-in-starlette
05	source-05-arstechnica-com-information-technology-2026-05-millions-of-ai-agents-imperiled-b.html	2226	https://arstechnica.com/information-technology/2026/05/millions-of-ai-agents-imperiled-by-critical-vulnerability-in-open-source-package/
06	source-06-www-techradar-com-pro-security-worrying-open-source-security-issue-badhost-could.html	1184299	https://www.techradar.com/pro/security/worrying-open-source-security-issue-badhost-could-affect-millions-of-ai-agents-experts-warn
07	source-07-www-emqx-com-en-blog-millions-of-agents-at-risk.html	198352	https://www.emqx.com/en/blog/millions-of-agents-at-risk
