idx	file	bytes	url
01	source-01-blog-pypi-org-posts-2024-12-11-ultralytics-attack-analysis.html	45889	https://blog.pypi.org/posts/2024-12-11-ultralytics-attack-analysis/
02	source-02-www-reversinglabs-com-blog-compromised-ultralytics-pypi-package-delivers-crypto-.html	329471	https://www.reversinglabs.com/blog/compromised-ultralytics-pypi-package-delivers-crypto-coinminer
03	source-03-www-bleepingcomputer-com-news-security-ultralytics-ai-model-hijacked-to-infect-t.html	96309	https://www.bleepingcomputer.com/news/security/ultralytics-ai-model-hijacked-to-infect-thousands-with-cryptominer/
04	source-04-www-wiz-io-blog-ultralytics-ai-library-hacked-via-github-for-cryptomining.html	311463	https://www.wiz.io/blog/ultralytics-ai-library-hacked-via-github-for-cryptomining
05	source-05-www-hiddenlayer-com-research-ultralytics-python-package-compromise-deploys-crypt.html	235465	https://www.hiddenlayer.com/research/ultralytics-python-package-compromise-deploys-cryptominer
06	source-06-github-com-ultralytics-ultralytics-issues-18027.html	294447	https://github.com/ultralytics/ultralytics/issues/18027
