idx	file	bytes	url
01	source-01-www-microsoft-com-en-us-security-blog-2026-05-07-prompts-become-shells-rce-vulne.html	324318	https://www.microsoft.com/en-us/security/blog/2026/05/07/prompts-become-shells-rce-vulnerabilities-ai-agent-frameworks/
02	source-02-github-com-advisories-ghsa-xjw9-4gw8-4rqx.html	186757	https://github.com/advisories/GHSA-xjw9-4gw8-4rqx
03	source-03-github-com-advisories-ghsa-2ww3-72rp-wpp4.html	188913	https://github.com/advisories/GHSA-2ww3-72rp-wpp4
04	source-04-nvd-nist-gov-vuln-detail-cve-2026-26030.html	72035	https://nvd.nist.gov/vuln/detail/CVE-2026-26030
05	source-05-nvd-nist-gov-vuln-detail-cve-2026-25592.html	67800	https://nvd.nist.gov/vuln/detail/CVE-2026-25592
06	source-06-www-sentinelone-com-vulnerability-database-cve-2026-25592.html	249284	https://www.sentinelone.com/vulnerability-database/cve-2026-25592/
07	source-07-www-miggo-io-vulnerability-database-cve-cve-2026-26030.html	257881	https://www.miggo.io/vulnerability-database/cve/CVE-2026-26030
