idx	file	bytes	url
01	source-01-discourse-jupyter-org-t-security-releases-jupyterlab-v4-5-7-and-notebook-v7-5-6-.html	272688	https://discourse.jupyter.org/t/security-releases-jupyterlab-v4-5-7-and-notebook-v7-5-6/38532
02	source-02-github-com-advisories-ghsa-mqcg-5x36-vfcg.html	197672	https://github.com/advisories/GHSA-mqcg-5x36-vfcg
03	source-03-github-com-advisories-ghsa-rch3-82jr-f9w9.html	200458	https://github.com/advisories/GHSA-rch3-82jr-f9w9
04	source-04-github-com-advisories-ghsa-37w4-hwhx-4rc4.html	192974	https://github.com/advisories/GHSA-37w4-hwhx-4rc4
05	source-05-nvd-nist-gov-vuln-detail-cve-2026-42557.html	70955	https://nvd.nist.gov/vuln/detail/CVE-2026-42557
06	source-06-www-sentinelone-com-vulnerability-database-cve-2026-42557.html	243762	https://www.sentinelone.com/vulnerability-database/cve-2026-42557/
07	source-07-www-sentinelone-com-vulnerability-database-cve-2026-42266.html	245267	https://www.sentinelone.com/vulnerability-database/cve-2026-42266/
