idx	file	bytes	url
01	source-01-xlab-tencent-com-en-2026-01-06-xlab-26-001.html	10415	https://xlab.tencent.com/en/2026/01/06/xlab-26-001/
02	source-02-github-com-comfy-org-comfyui-manager-security-advisories-ghsa-95pq-hr8p-f5g7.html	212588	https://github.com/Comfy-Org/ComfyUI-Manager/security/advisories/GHSA-95pq-hr8p-f5g7
03	source-03-github-com-advisories-ghsa-95pq-hr8p-f5g7.html	186804	https://github.com/advisories/GHSA-95pq-hr8p-f5g7
04	source-04-nvd-nist-gov-vuln-detail-cve-2025-67303.html	68509	https://nvd.nist.gov/vuln/detail/CVE-2025-67303
05	source-05-github-com-comfy-org-comfyui-manager-blob-main-docs-en-v3-38-userdata-security-m.html	349909	https://github.com/Comfy-Org/ComfyUI-Manager/blob/main/docs/en/v3.38-userdata-security-migration.md
06	source-06-www-sentinelone-com-vulnerability-database-cve-2025-67303.html	246408	https://www.sentinelone.com/vulnerability-database/cve-2025-67303/
07	source-07-advisories-gitlab-com-pypi-comfyui-manager-cve-2025-67303.html	20100	https://advisories.gitlab.com/pypi/comfyui-manager/CVE-2025-67303/
