idx	file	bytes	url
01	source-01-docs-litellm-ai-blog-cve-2026-42208-litellm-proxy-sql-injection.html	30901	https://docs.litellm.ai/blog/cve-2026-42208-litellm-proxy-sql-injection
02	source-02-github-com-berriai-litellm-security-advisories-ghsa-r75f-5x8p-qvmc.html	214606	https://github.com/BerriAI/litellm/security/advisories/GHSA-r75f-5x8p-qvmc
03	source-03-nvd-nist-gov-vuln-detail-cve-2026-42208.html	83922	https://nvd.nist.gov/vuln/detail/CVE-2026-42208
04	source-04-www-sysdig-com-blog-cve-2026-42208-targeted-sql-injection-against-litellms-authe.html	275006	https://www.sysdig.com/blog/cve-2026-42208-targeted-sql-injection-against-litellms-authentication-path-discovered-36-hours-following-vulnerability-disclosure
05	source-05-thehackernews-com-2026-04-litellm-cve-2026-42208-sql-injection-html.html	169133	https://thehackernews.com/2026/04/litellm-cve-2026-42208-sql-injection.html
06	source-06-bishopfox-com-blog-cve-2026-42208-pre-authentication-sql-injection-in-litellm-pr.html	407506	https://bishopfox.com/blog/cve-2026-42208-pre-authentication-sql-injection-in-litellm-proxy
07	source-07-ccb-belgium-be-advisories-warning-litellm-pre-auth-sql-injection-cve-2026-42208-.html	48797	https://ccb.belgium.be/advisories/warning-litellm-pre-auth-sql-injection-cve-2026-42208-patch-immediately
