idx	file	bytes	url
01	source-01-www-cyera-com-research-ni8mare-unauthenticated-remote-code-execution-in-n8n-cve-.html	294848	https://www.cyera.com/research/ni8mare-unauthenticated-remote-code-execution-in-n8n-cve-2026-21858
02	source-02-github-com-advisories-ghsa-v4pr-fm98-w9pg.html	183759	https://github.com/advisories/GHSA-v4pr-fm98-w9pg
03	source-03-nvd-nist-gov-vuln-detail-cve-2026-21858.html	72333	https://nvd.nist.gov/vuln/detail/CVE-2026-21858
04	source-04-www-upwind-io-feed-cve-2026-21858-n8n-unauthenticated-rce.html	299673	https://www.upwind.io/feed/cve-2026-21858-n8n-unauthenticated-rce
05	source-05-horizon3-ai-attack-research-attack-blogs-the-ni8mare-test-n8n-rce-under-the-micr.html	199191	https://horizon3.ai/attack-research/attack-blogs/the-ni8mare-test-n8n-rce-under-the-microscope-cve-2026-21858/
06	source-06-community-n8n-io-t-security-advisory-security-vulnerability-in-n8n-versions-1-65.html	405708	https://community.n8n.io/t/security-advisory-security-vulnerability-in-n8n-versions-1-65-1-120-4/247305
07	source-07-www-techradar-com-pro-security-thousands-of-n8n-instances-under-threat-from-top-.html	1191843	https://www.techradar.com/pro/security/thousands-of-n8n-instances-under-threat-from-top-security-issue
