idx	file	bytes	url
01	source-01-www-catonetworks-com-blog-cato-ctrl-vulnerability-discovered-open-webui-cve-2025.html	2281	https://www.catonetworks.com/blog/cato-ctrl-vulnerability-discovered-open-webui-cve-2025-64496/
02	source-02-github-com-open-webui-open-webui-security-advisories-ghsa-cm35-v4vp-5xvx.html	272756	https://github.com/open-webui/open-webui/security/advisories/GHSA-cm35-v4vp-5xvx
03	source-03-github-com-advisories-ghsa-cm35-v4vp-5xvx.html	223286	https://github.com/advisories/GHSA-cm35-v4vp-5xvx
04	source-04-nvd-nist-gov-vuln-detail-cve-2025-64496.html	81834	https://nvd.nist.gov/vuln/detail/CVE-2025-64496
05	source-05-www-sentinelone-com-vulnerability-database-cve-2025-64496.html	243726	https://www.sentinelone.com/vulnerability-database/cve-2025-64496/
06	source-06-www-infosecurity-magazine-com-news-flaw-open-webui-affects-ai.html	103126	https://www.infosecurity-magazine.com/news/flaw-open-webui-affects-ai/
07	source-07-www-scworld-com-news-open-webui-account-takeover-flaw-could-lead-to-remote-code-.html	115608	https://www.scworld.com/news/open-webui-account-takeover-flaw-could-lead-to-remote-code-execution
