idx	file	bytes	url
01	source-01-www-hiddenlayer-com-research-chromatoast-served-pre-auth.html	214740	https://www.hiddenlayer.com/research/chromatoast-served-pre-auth
02	source-02-nvd-nist-gov-vuln-detail-cve-2026-45829.html	64177	https://nvd.nist.gov/vuln/detail/CVE-2026-45829
03	source-03-github-com-advisories-ghsa-f4j7-r4q5-qw2c.html	187287	https://github.com/advisories/GHSA-f4j7-r4q5-qw2c
04	source-04-www-bleepingcomputer-com-news-security-max-severity-flaw-in-chromadb-for-ai-apps.html	89038	https://www.bleepingcomputer.com/news/security/max-severity-flaw-in-chromadb-for-ai-apps-allows-server-hijacking/
05	source-05-www-securityweek-com-unpatched-chromadb-vulnerability-can-lead-to-server-takeove.html	159785	https://www.securityweek.com/unpatched-chromadb-vulnerability-can-lead-to-server-takeover/
06	source-06-www-scworld-com-brief-max-severity-vulnerability-in-chromadb-allows-unauthentica.html	101742	https://www.scworld.com/brief/max-severity-vulnerability-in-chromadb-allows-unauthenticated-remote-code-execution
07	source-07-hadrian-io-blog-cve-2026-45829-chromadb-python-server-hands-you-rce-before-it-as.html	156420	https://hadrian.io/blog/cve-2026-45829----chromadb-python-server-hands-you-rce-before-it-asks-who-you-are
