idx	file	bytes	url
01	source-01-www-sysdig-com-blog-marimo-oss-python-notebook-rce-from-disclosure-to-exploitati.html	270790	https://www.sysdig.com/blog/marimo-oss-python-notebook-rce-from-disclosure-to-exploitation-in-under-10-hours
02	source-02-github-com-marimo-team-marimo-security-advisories-ghsa-2679-6mx9-h9xc.html	207022	https://github.com/marimo-team/marimo/security/advisories/GHSA-2679-6mx9-h9xc
03	source-03-www-endorlabs-com-learn-root-in-one-request-marimos-critical-pre-auth-rce-cve-20.html	237048	https://www.endorlabs.com/learn/root-in-one-request-marimos-critical-pre-auth-rce-cve-2026-39987
04	source-04-nvd-nist-gov-vuln-detail-cve-2026-39987.html	93208	https://nvd.nist.gov/vuln/detail/CVE-2026-39987
05	source-05-www-sysdig-com-blog-cve-2026-39987-update-how-attackers-weaponized-marimo-to-dep.html	288715	https://www.sysdig.com/blog/cve-2026-39987-update-how-attackers-weaponized-marimo-to-deploy-a-blockchain-botnet-via-huggingface
06	source-06-thehackernews-com-2026-04-marimo-rce-flaw-cve-2026-39987-html.html	170884	https://thehackernews.com/2026/04/marimo-rce-flaw-cve-2026-39987.html
07	source-07-www-csoonline-com-article-4157810-critical-flaw-in-marimo-python-notebook-exploi.html	255174	https://www.csoonline.com/article/4157810/critical-flaw-in-marimo-python-notebook-exploited-within-10-hours-of-disclosure.html
